,project,run_name,metrics/mmlu/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu/5-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/0-shot/InContextLearningMultipleChoiceAccuracy,metrics/mmlu-pro/5-shot/InContextLearningMultipleChoiceAccuracy,math/MATH,math/MATH_ru,math/gsm8k,math/gsm8k_ru,code/humaneval/base_pass@1,code/humaneval/plus_pass@1,code/mbpp/base_pass@1,code/mbpp/plus_pass@1,code/lcb/pass@1,code/lcb/pass@10
65,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_annealing_3T_40B,0.6208517551422119,0.6432844400405884,0.3118351101875305,0.33967751264572144,0.3136,0.2808,0.7134192570128886,0.6050037907505686,0.3902439024390244,0.34146341463414637,0.6322751322751323,0.5105820105820106,,
66,reasoning_annealing_7B_5_3_1,aqua_rat_SampleForUniformAns_NotShuffleChoices_mds_4k_annealing_3T_40B,0.6304657459259033,0.6410055756568909,0.3096742033958435,0.3248836398124695,0.3144,0.2724,0.7119029567854435,0.601213040181956,0.35365853658536583,0.29878048780487804,0.6349206349206349,0.5291005291005291,,
67,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_2_1_mix_annealing_3T_40B,0.6313915252685547,0.6580259203910828,0.3292054533958435,0.366771936416626,,,,,,,,,,
68,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_50_50_mix_annealing_3T_40B,0.6370887160301208,0.6594502329826355,0.32737699151039124,0.3509807288646698,,,,,,,,,,
69,reasoning_annealing_7B_5_3_1,logiqa_lsat_4k_mds_annealing_3T_40B,0.6313202977180481,0.6557470560073853,0.3163231313228607,0.34133976697921753,,,,,,,,,,
70,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_1_2_mix_95_5_annealing_3T_40B,0.6334567666053772,0.6543939709663391,0.33120012283325195,0.35580119490623474,,,,,,,,,,
71,reasoning_annealing_7B_5_3_1,5.3.1_base_annealing_3T_100B,0.6365190148353577,0.6555333733558655,0.3280418813228607,0.3481549322605133,,,,,,,,,,
72,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_1_2_mix_annealing_3T_100B,0.6308930516242981,0.6568864583969116,0.33020278811454773,0.3627825677394867,,,,,,,,,,
73,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_1_2_mix_changed_prop_to_5_percent_annealing_3T_100B,0.6424298286437988,0.6652898192405701,0.34973403811454773,0.3705950677394867,,,,,,,,,,
74,reasoning_annealing_7B_5_3_1,aqua_rat_RandomChoinceCorrectAns_mds_4k_logiqa_lsat_4k_mds_physics_1_2_1_mix_annealing_3T_40B,0.6324597597122192,0.6565303802490234,0.34225398302078247,0.3528091609477997,,,,,,,,,,
